index,max-steps,max-reward,exploration-rate,obedience
0,800.0,-300.0,0.95,0.2425
1,800.0,-354.0,0.9495751062322939,0.26125
2,800.0,-414.0,0.9491504248583688,0.25375
3,800.0,-306.0,0.9487259557720542,0.2575
4,800.0,-371.0,0.948301698867233,0.265
5,800.0,-293.0,0.9478776540378411,0.30875
6,800.0,-359.0,0.947453821177867,0.25625
7,800.0,-364.0,0.9470302001813526,0.28
8,800.0,-389.0,0.9466067909423928,0.24375
9,800.0,-343.0,0.9461835933551349,0.2625
10,800.0,-365.0,0.94576060731378,0.265
11,800.0,-384.0,0.9453378327125812,0.2575
12,800.0,-315.0,0.9449152694458449,0.29125
13,800.0,-355.0,0.9444929174079305,0.2825
14,800.0,-366.0,0.9440707764932498,0.2725
15,800.0,-327.0,0.9436488465962676,0.24125
16,800.0,-323.0,0.9432271276115015,0.28125
17,800.0,-346.0,0.9428056194335217,0.2975
18,800.0,-417.0,0.9423843219569511,0.24
19,800.0,-341.0,0.9419632350764654,0.27125
20,800.0,-366.0,0.9415423586867928,0.25125
21,800.0,-365.0,0.9411216926827144,0.25125
22,800.0,-376.0,0.9407012369590634,0.27
23,800.0,-402.0,0.9402809914107261,0.25375
24,800.0,-354.0,0.9398609559326409,0.2625
25,800.0,-424.0,0.9394411304197992,0.22625
26,800.0,-365.0,0.9390215147672444,0.26
27,800.0,-315.0,0.9386021088700727,0.2875
28,800.0,-333.0,0.9381829126234326,0.2725
29,800.0,-356.0,0.937763925922525,0.25625
30,800.0,-345.0,0.9373451486626032,0.25375
31,800.0,-298.0,0.936926580738973,0.29125
32,800.0,-359.0,0.9365082220469924,0.2525
33,800.0,-362.0,0.9360900724820714,0.2875
34,800.0,-333.0,0.9356721319396731,0.3175
35,800.0,-371.0,0.9352544003153122,0.23875
36,800.0,-416.0,0.9348368775045556,0.23375
37,800.0,-416.0,0.9344195634030227,0.25625
38,800.0,-399.0,0.934002457906385,0.245
39,800.0,-394.0,0.9335855609103663,0.25
40,800.0,-309.0,0.933168872310742,0.29375
41,800.0,-371.0,0.9327523920033401,0.26
42,800.0,-301.0,0.9323361198840406,0.27875
43,800.0,-396.0,0.9319200558487755,0.2475
44,800.0,-385.0,0.9315041997935285,0.25875
45,800.0,-308.0,0.9310885516143359,0.29
46,800.0,-345.0,0.9306731112072855,0.27875
47,800.0,-354.0,0.9302578784685173,0.295
48,800.0,-341.0,0.9298428532942229,0.26375
49,800.0,-344.0,0.9294280355806462,0.2575
50,800.0,-375.0,0.9290134252240827,0.2775
51,800.0,-386.0,0.9285990221208799,0.285
52,800.0,-379.0,0.9281848261674369,0.24125
53,800.0,-301.0,0.9277708372602047,0.26125
54,800.0,-398.0,0.9273570552956862,0.24
55,800.0,-296.0,0.9269434801704358,0.2625
56,800.0,-322.0,0.9265301117810598,0.26375
57,800.0,-319.0,0.9261169500242161,0.26875
58,800.0,-330.0,0.925703994796614,0.28
59,800.0,-359.0,0.9252912459950151,0.27
60,800.0,-330.0,0.9248787035162319,0.2625
61,800.0,-337.0,0.9244663672571288,0.2625
62,800.0,-369.0,0.924054237114622,0.275
63,800.0,-341.0,0.9236423129856787,0.27875
64,800.0,-355.0,0.923230594767318,0.2575
65,800.0,-345.0,0.92281908235661,0.2875
66,800.0,-329.0,0.9224077756506772,0.26875
67,800.0,-301.0,0.9219966745466924,0.25
68,800.0,-359.0,0.9215857789418805,0.2775
69,800.0,-349.0,0.9211750887335177,0.27
70,800.0,-325.0,0.9207646038189314,0.2425
71,800.0,-365.0,0.9203543240955003,0.28625
72,800.0,-315.0,0.9199442494606546,0.2775
73,800.0,-346.0,0.9195343798118754,0.27875
74,800.0,-345.0,0.9191247150466955,0.29
75,800.0,-335.0,0.9187152550626985,0.28625
76,800.0,-354.0,0.9183059997575196,0.255
77,800.0,-363.0,0.9178969490288449,0.29375
78,800.0,-365.0,0.9174881027744117,0.26625
79,800.0,-368.0,0.9170794608920084,0.26875
80,800.0,-354.0,0.9166710232794747,0.25625
81,800.0,-337.0,0.916262789834701,0.31
82,800.0,-280.0,0.915854760455629,0.285
83,800.0,-318.0,0.9154469350402514,0.26625
84,800.0,-285.0,0.9150393134866118,0.26
85,800.0,-336.0,0.9146318956928049,0.31125
86,800.0,-392.0,0.914224681556976,0.26125
87,800.0,-357.0,0.9138176709773219,0.27375
88,800.0,-299.0,0.9134108638520896,0.29
89,800.0,-321.0,0.9130042600795776,0.26875
90,800.0,-328.0,0.9125978595581349,0.30125
91,800.0,-282.0,0.9121916621861612,0.2525
92,800.0,-294.0,0.9117856678621075,0.29625
93,800.0,-368.0,0.9113798764844747,0.2625
94,800.0,-339.0,0.9109742879518153,0.27125
95,800.0,-317.0,0.9105689021627323,0.27375
96,800.0,-354.0,0.910163719015879,0.28125
97,800.0,-314.0,0.9097587384099596,0.27625
98,800.0,-362.0,0.909353960243729,0.27875
99,800.0,-326.0,0.9089493844159928,0.29625
100,800.0,-390.0,0.9085450108256069,0.2675
101,800.0,-312.0,0.9081408393714778,0.27
